Illumina Inc. BeadStudio version 3.3.7
Normalization = none
Array Content = MouseRef-8_V1_1_R2_11234312_A.bgx.xml
Error Model = none
DateTime = 10/22/2008 3:37 PM
Local Settings = en-US

TargetID	ProbeID	MIN_Signal-1745080067_B	AVG_Signal-1745080067_B	MAX_Signal-1745080067_B	NARRAYS-1745080067_B	ARRAY_STDEV-1745080067_B	BEAD_STDEV-1745080067_B	Avg_NBEADS-1745080067_B	Detection-1745080067_B	MIN_Signal-1745080067_A	AVG_Signal-1745080067_A	MAX_Signal-1745080067_A	NARRAYS-1745080067_A	ARRAY_STDEV-1745080067_A	BEAD_STDEV-1745080067_A	Avg_NBEADS-1745080067_A	Detection-1745080067_A	MIN_Signal-1745080067_D	AVG_Signal-1745080067_D	MAX_Signal-1745080067_D	NARRAYS-1745080067_D	ARRAY_STDEV-1745080067_D	BEAD_STDEV-1745080067_D	Avg_NBEADS-1745080067_D	Detection-1745080067_D	MIN_Signal-1745080067_E	AVG_Signal-1745080067_E	MAX_Signal-1745080067_E	NARRAYS-1745080067_E	ARRAY_STDEV-1745080067_E	BEAD_STDEV-1745080067_E	Avg_NBEADS-1745080067_E	Detection-1745080067_E	MIN_Signal-1745080067_C	AVG_Signal-1745080067_C	MAX_Signal-1745080067_C	NARRAYS-1745080067_C	ARRAY_STDEV-1745080067_C	BEAD_STDEV-1745080067_C	Avg_NBEADS-1745080067_C	Detection-1745080067_C	MIN_Signal-1745080067_F	AVG_Signal-1745080067_F	MAX_Signal-1745080067_F	NARRAYS-1745080067_F	ARRAY_STDEV-1745080067_F	BEAD_STDEV-1745080067_F	Avg_NBEADS-1745080067_F	Detection-1745080067_F	MIN_Signal-1745080067_G	AVG_Signal-1745080067_G	MAX_Signal-1745080067_G	NARRAYS-1745080067_G	ARRAY_STDEV-1745080067_G	BEAD_STDEV-1745080067_G	Avg_NBEADS-1745080067_G	Detection-1745080067_G	MIN_Signal-1745080067_H	AVG_Signal-1745080067_H	MAX_Signal-1745080067_H	NARRAYS-1745080067_H	ARRAY_STDEV-1745080067_H	BEAD_STDEV-1745080067_H	Avg_NBEADS-1745080067_H	Detection-1745080067_H	MIN_Signal-1745080070_A	AVG_Signal-1745080070_A	MAX_Signal-1745080070_A	NARRAYS-1745080070_A	ARRAY_STDEV-1745080070_A	BEAD_STDEV-1745080070_A	Avg_NBEADS-1745080070_A	Detection-1745080070_A	MIN_Signal-1745080070_B	AVG_Signal-1745080070_B	MAX_Signal-1745080070_B	NARRAYS-1745080070_B	ARRAY_STDEV-1745080070_B	BEAD_STDEV-1745080070_B	Avg_NBEADS-1745080070_B	Detection-1745080070_B	MIN_Signal-1745080070_C	AVG_Signal-1745080070_C	MAX_Signal-1745080070_C	NARRAYS-1745080070_C	ARRAY_STDEV-1745080070_C	BEAD_STDEV-1745080070_C	Avg_NBEADS-1745080070_C	Detection-1745080070_C	MIN_Signal-1745080070_D	AVG_Signal-1745080070_D	MAX_Signal-1745080070_D	NARRAYS-1745080070_D	ARRAY_STDEV-1745080070_D	BEAD_STDEV-1745080070_D	Avg_NBEADS-1745080070_D	Detection-1745080070_D	MIN_Signal-1745080070_E	AVG_Signal-1745080070_E	MAX_Signal-1745080070_E	NARRAYS-1745080070_E	ARRAY_STDEV-1745080070_E	BEAD_STDEV-1745080070_E	Avg_NBEADS-1745080070_E	Detection-1745080070_E	MIN_Signal-1745080070_F	AVG_Signal-1745080070_F	MAX_Signal-1745080070_F	NARRAYS-1745080070_F	ARRAY_STDEV-1745080070_F	BEAD_STDEV-1745080070_F	Avg_NBEADS-1745080070_F	Detection-1745080070_F	MIN_Signal-1745080070_G	AVG_Signal-1745080070_G	MAX_Signal-1745080070_G	NARRAYS-1745080070_G	ARRAY_STDEV-1745080070_G	BEAD_STDEV-1745080070_G	Avg_NBEADS-1745080070_G	Detection-1745080070_G	MIN_Signal-1745080070_H	AVG_Signal-1745080070_H	MAX_Signal-1745080070_H	NARRAYS-1745080070_H	ARRAY_STDEV-1745080070_H	BEAD_STDEV-1745080070_H	Avg_NBEADS-1745080070_H	Detection-1745080070_H	
0610009O03RIK	5080592	185.6	185.6	185.6	1	NaN	84.719	36	0.78710	166.7	166.7	166.7	1	NaN	58.961	37	0.75426	230.0	230.0	230.0	1	NaN	111.111	26	0.97080	177.3	177.3	177.3	1	NaN	48.743	33	0.74453	208.5	208.5	208.5	1	NaN	73.092	50	0.98783	217.6	217.6	217.6	1	NaN	78.287	37	0.86253	189.7	189.7	189.7	1	NaN	84.688	36	0.84915	187.9	187.9	187.9	1	NaN	67.607	44	0.81265	203.1	203.1	203.1	1	NaN	95.918	38	0.73844	181.4	181.4	181.4	1	NaN	70.760	30	0.75304	203.3	203.3	203.3	1	NaN	88.703	37	0.81265	165.4	165.4	165.4	1	NaN	70.887	37	0.55596	196.1	196.1	196.1	1	NaN	72.373	51	0.77737	191.4	191.4	191.4	1	NaN	73.480	35	0.82360	198.0	198.0	198.0	1	NaN	88.517	44	0.88929	194.2	194.2	194.2	1	NaN	85.729	41	0.92579	
0610009O03RIK	6840128	1862.7	1862.7	1862.7	1	NaN	385.918	33	1.00000	1821.1	1821.1	1821.1	1	NaN	407.786	37	1.00000	1550.0	1550.0	1550.0	1	NaN	281.189	37	1.00000	2285.0	2285.0	2285.0	1	NaN	432.021	38	1.00000	513.4	513.4	513.4	1	NaN	135.165	35	0.99878	2589.9	2589.9	2589.9	1	NaN	407.590	36	1.00000	2492.6	2492.6	2492.6	1	NaN	576.162	47	1.00000	2181.2	2181.2	2181.2	1	NaN	428.643	39	1.00000	2293.0	2293.0	2293.0	1	NaN	489.584	40	1.00000	1842.5	1842.5	1842.5	1	NaN	437.335	36	1.00000	2257.3	2257.3	2257.3	1	NaN	509.788	34	1.00000	2064.9	2064.9	2064.9	1	NaN	512.334	37	1.00000	2246.8	2246.8	2246.8	1	NaN	465.056	42	1.00000	2230.8	2230.8	2230.8	1	NaN	558.529	34	1.00000	2261.9	2261.9	2261.9	1	NaN	504.458	32	1.00000	2011.4	2011.4	2011.4	1	NaN	611.247	35	1.00000	
0610009O20RIK	5670132	745.6	745.6	745.6	1	NaN	189.289	42	1.00000	675.6	675.6	675.6	1	NaN	222.687	30	0.99878	550.5	550.5	550.5	1	NaN	137.624	46	1.00000	740.8	740.8	740.8	1	NaN	208.301	41	0.99878	486.4	486.4	486.4	1	NaN	131.943	37	0.99878	1000.0	1000.0	1000.0	1	NaN	191.023	40	1.00000	876.8	876.8	876.8	1	NaN	250.325	38	1.00000	840.0	840.0	840.0	1	NaN	190.432	37	1.00000	818.8	818.8	818.8	1	NaN	223.617	45	0.99878	728.2	728.2	728.2	1	NaN	212.033	46	1.00000	821.2	821.2	821.2	1	NaN	216.108	41	1.00000	751.5	751.5	751.5	1	NaN	262.624	36	0.99878	855.4	855.4	855.4	1	NaN	237.391	37	1.00000	759.5	759.5	759.5	1	NaN	220.986	36	0.99878	793.2	793.2	793.2	1	NaN	209.778	42	1.00000	714.5	714.5	714.5	1	NaN	147.656	34	0.99878	
0610010D20RIK	6130047	168.1	168.1	168.1	1	NaN	54.946	37	0.56813	148.6	148.6	148.6	1	NaN	57.403	24	0.45377	165.3	165.3	165.3	1	NaN	50.890	31	0.46472	149.9	149.9	149.9	1	NaN	66.005	21	0.32360	163.6	163.6	163.6	1	NaN	68.658	33	0.75304	209.7	209.7	209.7	1	NaN	63.172	31	0.80170	171.5	171.5	171.5	1	NaN	81.453	21	0.63869	171.8	171.8	171.8	1	NaN	56.467	41	0.61436	187.7	187.7	187.7	1	NaN	80.478	29	0.54136	168.3	168.3	168.3	1	NaN	78.085	32	0.58759	204.3	204.3	204.3	1	NaN	82.793	31	0.81752	178.4	178.4	178.4	1	NaN	77.647	29	0.74696	182.2	182.2	182.2	1	NaN	66.157	24	0.61557	189.0	189.0	189.0	1	NaN	71.487	26	0.79440	141.0	141.0	141.0	1	NaN	55.196	24	0.17762	196.7	196.7	196.7	1	NaN	86.947	14	0.93187	
0610010D24RIK	2060452	227.5	227.5	227.5	1	NaN	65.690	20	0.97567	170.9	170.9	170.9	1	NaN	89.584	24	0.79684	234.2	234.2	234.2	1	NaN	89.134	24	0.97324	186.0	186.0	186.0	1	NaN	79.136	26	0.82847	174.5	174.5	174.5	1	NaN	80.809	32	0.87470	221.7	221.7	221.7	1	NaN	95.836	31	0.87591	176.1	176.1	176.1	1	NaN	83.500	25	0.70195	243.7	243.7	243.7	1	NaN	59.153	37	0.97810	285.8	285.8	285.8	1	NaN	109.382	31	0.98175	224.7	224.7	224.7	1	NaN	118.493	34	0.96472	228.5	228.5	228.5	1	NaN	84.196	32	0.94891	235.1	235.1	235.1	1	NaN	116.709	28	0.97324	266.9	266.9	266.9	1	NaN	65.459	32	0.98662	255.3	255.3	255.3	1	NaN	88.138	35	0.98175	191.7	191.7	191.7	1	NaN	78.288	23	0.85037	242.9	242.9	242.9	1	NaN	115.763	20	0.98175	
0610010E21RIK	2470347	220.1	220.1	220.1	1	NaN	78.582	65	0.95255	199.4	199.4	199.4	1	NaN	74.609	61	0.95499	244.5	244.5	244.5	1	NaN	83.806	62	0.98175	210.8	210.8	210.8	1	NaN	70.127	60	0.95742	208.9	208.9	208.9	1	NaN	60.377	65	0.98905	258.2	258.2	258.2	1	NaN	66.083	73	0.96472	241.0	241.0	241.0	1	NaN	88.007	59	0.97932	244.8	244.8	244.8	1	NaN	79.409	55	0.97932	248.1	248.1	248.1	1	NaN	98.149	49	0.95377	177.2	177.2	177.2	1	NaN	72.060	59	0.70438	227.5	227.5	227.5	1	NaN	91.713	55	0.94769	223.3	223.3	223.3	1	NaN	78.398	41	0.96350	231.8	231.8	231.8	1	NaN	78.236	54	0.95134	256.2	256.2	256.2	1	NaN	97.557	53	0.98175	209.4	209.4	209.4	1	NaN	103.732	59	0.92214	194.7	194.7	194.7	1	NaN	74.272	68	0.92701	
0610010F05RIK	1450600	351.0	351.0	351.0	1	NaN	97.017	37	0.99635	429.0	429.0	429.0	1	NaN	132.262	46	0.99878	325.0	325.0	325.0	1	NaN	91.468	32	0.99513	444.6	444.6	444.6	1	NaN	184.389	40	0.99757	275.2	275.2	275.2	1	NaN	64.908	27	0.99757	449.9	449.9	449.9	1	NaN	132.851	43	0.99635	423.8	423.8	423.8	1	NaN	119.563	36	0.99757	372.2	372.2	372.2	1	NaN	117.567	30	0.99270	482.1	482.1	482.1	1	NaN	174.609	31	0.99757	368.4	368.4	368.4	1	NaN	112.281	37	0.99635	427.2	427.2	427.2	1	NaN	85.981	35	0.99757	426.3	426.3	426.3	1	NaN	167.890	42	0.99878	446.5	446.5	446.5	1	NaN	128.997	50	0.99757	441.3	441.3	441.3	1	NaN	131.858	37	0.99757	430.8	430.8	430.8	1	NaN	116.933	42	0.99757	339.6	339.6	339.6	1	NaN	110.297	32	0.99513	
0610010F05RIK	5130471	410.0	410.0	410.0	1	NaN	135.845	37	0.99757	346.2	346.2	346.2	1	NaN	117.288	42	0.99635	350.4	350.4	350.4	1	NaN	99.976	40	0.99513	431.3	431.3	431.3	1	NaN	126.700	38	0.99757	357.1	357.1	357.1	1	NaN	106.914	41	0.99878	593.8	593.8	593.8	1	NaN	106.120	43	0.99878	406.5	406.5	406.5	1	NaN	104.986	41	0.99757	391.3	391.3	391.3	1	NaN	120.972	46	0.99513	471.0	471.0	471.0	1	NaN	147.738	41	0.99757	378.5	378.5	378.5	1	NaN	134.760	46	0.99757	408.1	408.1	408.1	1	NaN	110.888	45	0.99757	394.4	394.4	394.4	1	NaN	161.923	49	0.99757	418.4	418.4	418.4	1	NaN	108.029	39	0.99757	398.9	398.9	398.9	1	NaN	107.547	53	0.99757	422.9	422.9	422.9	1	NaN	154.444	44	0.99757	413.2	413.2	413.2	1	NaN	137.337	34	0.99757	
0610010K06RIK	5270301	3881.4	3881.4	3881.4	1	NaN	839.205	20	1.00000	3394.8	3394.8	3394.8	1	NaN	615.180	27	1.00000	3283.2	3283.2	3283.2	1	NaN	823.601	28	1.00000	4219.0	4219.0	4219.0	1	NaN	710.390	39	1.00000	1675.6	1675.6	1675.6	1	NaN	340.425	41	1.00000	5714.3	5714.3	5714.3	1	NaN	1175.889	37	1.00000	4733.2	4733.2	4733.2	1	NaN	1166.547	29	1.00000	4967.7	4967.7	4967.7	1	NaN	840.279	31	1.00000	5285.7	5285.7	5285.7	1	NaN	1110.735	35	1.00000	4573.9	4573.9	4573.9	1	NaN	1261.992	31	1.00000	5152.4	5152.4	5152.4	1	NaN	884.676	42	1.00000	4932.7	4932.7	4932.7	1	NaN	636.685	22	1.00000	5042.3	5042.3	5042.3	1	NaN	1253.188	25	1.00000	4941.8	4941.8	4941.8	1	NaN	1240.291	30	1.00000	4960.4	4960.4	4960.4	1	NaN	1416.756	34	1.00000	4812.2	4812.2	4812.2	1	NaN	1138.605	32	1.00000	
0610010K14RIK	4480131	767.5	767.5	767.5	1	NaN	220.899	30	1.00000	609.6	609.6	609.6	1	NaN	228.108	16	0.99878	590.4	590.4	590.4	1	NaN	165.571	25	1.00000	613.8	613.8	613.8	1	NaN	200.488	28	0.99878	342.3	342.3	342.3	1	NaN	99.253	27	0.99757	1001.0	1001.0	1001.0	1	NaN	265.102	35	1.00000	713.9	713.9	713.9	1	NaN	236.142	31	0.99878	779.4	779.4	779.4	1	NaN	214.804	25	1.00000	807.8	807.8	807.8	1	NaN	288.674	31	0.99878	609.9	609.9	609.9	1	NaN	277.238	36	0.99878	781.4	781.4	781.4	1	NaN	336.199	36	1.00000	665.8	665.8	665.8	1	NaN	157.879	24	0.99878	871.4	871.4	871.4	1	NaN	194.448	21	1.00000	788.6	788.6	788.6	1	NaN	330.143	44	1.00000	703.9	703.9	703.9	1	NaN	211.947	36	0.99878	681.2	681.2	681.2	1	NaN	212.721	30	0.99878	
