TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float	float	float	float	float	boolean
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal	gTotalProbeSignal	gTotalProbeError	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DATA	21	1	21	0	0	A_54_P00004491	mcmv-miR-m21-1	846.662	224.969	2.278941e+000	3.748248e+000	56	22	6.822736e+000	0	0	0	1	0	0	2.27894	0	0	45.4864	23.0623	-2.99167	2.37163	-5.94465	3.35399	0
DATA	22	1	22	0	0	A_54_P1145	mmu-miR-190	872.031	225.277	4.129759e+000	3.764037e+000	58	22	6.723819e+000	0	0	0	1	0	0	4.12976	1	0	45.4864	22.7369	-3.12979	4.74362	-3.12979	4.74362	0
DATA	23	1	23	0	0	A_54_P00004479	mmu-miR-1198	897.574	225.295	6.130178e+000	3.791203e+000	63	22	7.288523e+000	0	0	0	0	0	0	6.13018	1	0	43.3362	23.2019	0.829801	2.37878	29.5335	4.4396	1
DATA	24	1	24	0	0	A_54_P1949	mmu-miR-683	922.838	225.074	6.831266e+000	3.803168e+000	64	22	7.096553e+000	0	0	0	1	0	0	6.83127	1	0	46.8651	22.9476	-1.08525	1.18581	-1.62846	2.37323	0
DATA	25	1	25	0	0	A_54_P2624	mmu-miR-216a	948.246	224.797	2.096506e+000	3.747183e+000	55.5	22	6.801540e+000	0	0	0	0	0	0	2.09651	0	0	46.5243	22.3741	-1.05034	1.18619	-4.1439	2.37183	0
DATA	28	1	28	0	0	A_54_P2229	mghv-miR-M1-6	1024.41	225.2	8.922076e+000	3.846227e+000	63	21	7.226982e+000	0	0	0	0	0	0	8.92208	1	0	47.2035	22.224	1.52499	1.19779	4.24461	2.38647	0
DATA	29	1	29	0	0	A_54_P1955	mmu-miR-684	1049	225.259	4.937949e+000	3.773759e+000	58	21	6.908362e+000	0	0	0	0	0	0	4.93795	1	0	43.3362	21.9175	-0.156475	1.18834	-2.74435	2.37325	0
DATA	30	1	30	0	0	A_54_P2378	mmu-miR-199a-5p	1075.23	225	3.145388e+001	4.887831e+000	86	22	6.787180e+000	0	0	0	0	0	0	31.4539	1	1	46.1809	22.9065	35.5159	4.33183	543.73	51.0792	1
DATA	31	1	31	0	0	A_54_P00004460	mmu-miR-1192	1100.4	225.229	-2.122506e+000	3.741314e+000	51	23	6.715074e+000	0	0	0	0	0	0	-2.12251	0	0	47.2035	23.4395	-3.37308	2.37163	-6.33544	3.35399	0
DATA	33	1	33	0	0	A_54_P2600	mmu-miR-32	1151.48	225.078	7.003229e+000	3.806295e+000	60.5	22	6.368024e+000	0	0	0	0	0	0	7.00323	1	0	44.0646	22.3283	0.240451	1.1913	0.500918	2.38297	0
DATA	34	1	34	0	0	A_54_P3164	mmu-miR-590-3p	1176.94	225.403	2.465552e+000	3.749429e+000	56	21.5	6.355554e+000	0	0	0	0	0	0	2.46555	0	0	45.835	22.1529	-1.03805	1.18633	-3.72443	2.3719	0
DATA	35	1	35	0	0	A_54_P3389	mmu-miR-130b*	1202.06	225.463	8.970321e+000	3.847349e+000	61	22	6.558122e+000	0	0	0	0	0	0	8.97032	1	0	45.835	22.5165	0.893282	1.19599	3.25252	2.38375	0
DATA	36	1	36	0	0	A_54_P1301	mmu-miR-16	1227.78	225.415	5.042208e+002	5.056070e+001	570.5	22	6.632214e+000	0	0	0	1	0	0	504.221	1	1	45.4864	22.3506	569.523	57.1674	2864.87	236.7	1
DATA	37	1	37	0	0	A_54_P2808	mmu-miR-541	1253.43	224.754	4.030590e+000	3.762962e+000	56	22	6.590961e+000	0	0	0	0	0	0	4.03059	1	0	45.4864	22.4544	-0.544973	2.37349	0.811491	3.35899	0
DATA	39	1	39	0	0	A_54_P2504	mmu-miR-322	1304.19	224.712	7.388867e+002	7.398333e+001	780	22	6.814332e+000	0	0	0	0	0	0	738.887	1	1	43.7019	22.5245	502.524	50.4629	843.183	60.9531	1
DATA	40	1	40	0	0	A_54_P2895	mmu-miR-673-5p	1329.09	225.386	3.866827e+000	3.761243e+000	58	21	6.365533e+000	0	0	0	0	0	0	3.86683	1	0	65	21.6862	-0.371245	1.18708	-3.47413	2.37227	0
DATA	42	1	42	0	0	A_54_P1051	mmu-miR-9*	1380.18	225.129	2.048604e+001	4.265467e+000	72	22	6.832684e+000	0	0	0	0	0	0	20.486	1	1	45.1352	22.0192	12.1353	2.66643	15.9911	3.5917	1
DATA	44	1	44	0	0	A_54_P1833	mmu-miR-667	1430.69	225.417	2.621572e+000	3.750487e+000	56	23	7.187973e+000	0	0	0	1	0	0	2.62157	0	0	48.5334	22.8276	-1.69954	1.18581	-1.6078	2.37249	0
DATA	45	1	45	0	0	A_54_P3048	mmu-miR-105	1456.24	225.111	5.271048e+000	3.778262e+000	58	22	6.763821e+000	0	0	0	0	0	0	5.27105	1	0	45.1352	22.2934	0.261744	1.19852	-2.2974	2.37816	0
DATA	46	1	46	0	0	A_54_P2746	mmu-miR-450a-5p	1481.76	225.514	1.511660e+001	4.035163e+000	68	22	6.899198e+000	0	0	0	0	0	0	15.1166	1	0	47.2035	22.5725	10.9266	2.6176	30.9642	4.07008	1
DATA	47	1	47	0	0	A_54_P2712	mmu-miR-410	1507.2	225.423	1.707285e+001	4.112451e+000	72	22	7.106674e+000	0	0	0	0	0	0	17.0729	1	0	47.5395	22.654	13.3573	2.72576	27.7216	3.88995	1
DATA	49	1	49	0	0	A_54_P1545	mmu-miR-383	1557.32	225.698	4.149028e+000	3.764249e+000	59	22	6.663353e+000	0	0	0	1	0	0	4.14903	1	0	44.4243	22.4672	-1.88278	2.372	-3.49826	3.35425	0
DATA	50	1	50	0	0	A_54_P2397	mmu-miR-204	1582.91	225.308	2.565348e+001	4.536346e+000	81	21	6.636380e+000	0	0	0	0	0	0	25.6535	1	1	45.835	22.228	22.3555	3.36671	228.048	21.4501	1
DATA	51	1	51	0	0	A_54_P00004547	mmu-miR-1906	1608.25	225.338	8.087182e+001	8.910664e+000	131	21	6.384145e+000	0	0	0	1	0	0	80.8718	1	1	45.1352	21.5	77.3514	8.09851	147.602	10.9839	1
